นิติบุคคลจัดตั้งเดือนเมษายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน", ทุนจดทะเบียน ,รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
"1,196",0105558061269,บจ.คาร์ แมเนีย จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจการค้า จำหน่ายรถยนต์ และมอเตอร์ไซค์มือสอง ใหม่ พร้อมทั้งค้าของเก่า เกี่ยวกับอุปกรณ์รถยนต์,890/1 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,197",0105558061340,บจ.อัพทูด็อกส์ จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจให้บริการสระว่ายน้ำ ตัดขน โรงแรม สอนสัตว์เลี้ยง สุนัข แมว และจำหน่ายอาหารอุปกรณ์เครื่องใช้,10 ซอยหมู่บ้านปัญญา  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,198",0105558061382,บจ.ชญาภาเอ็นจิเนียริ่ง จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคารโรงงานและงานก่อสร้างอย่างอื่นทุกชนิด,213 ซอยเฉลิมพระเกียรติ ร.9 ซอย 22 แยก 5  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,199",0105558061617,บจ.เอ็ม เอ็ม โทโทล โซลูชั่น จำกัด,8/4/2558," 1,000,000 ",ประกอบธุรกิจรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารงานพาณิชยกรรมอุตสาหกรรมการตลาด,978 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,200",0105558061935,บจ.เยส ดินดี จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจการรับบรรจุภัณฑ์หีบห่อ,239/81 หมู่บ้านไอฟิลด์บางนา ถนนกาญจนาภิเษก  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
"1,201",0105558061943,บจ.เยส ปลดหนี้เกษตรกร จำกัด,8/4/2558," 1,000,000 ",ประกอบกจิากรผลิตรายการโทรทัศน์,239/81 หมู่บ้านไอฟิลด์บางนา ถนนกาญจนาภิเษก  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
"1,202",0105558062087,บจ.พาร์ทเนอร์ คลับ เซอร์วิส จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจการค้าเช่าให้เช่ารถกอล์ฟรถเอทีวียานพาหนะรวมทั้งอะไหล่และอุปกรณ์ของสินค้า,1 ซอยทุ่งเศรษฐี แยก 24 ถนนรามคำแหง 2  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
"1,203",0105558062117,บจ.บลูสกาย (2015) จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจการค้ากระดาษเครื่องเขียนอุปกรณ์การพิมพ์เครื่องใช้สำนักงานอุปกรณ์คอมพิวเตอร์,26 ซอยพัฒนาการ 63  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
"1,204",0105558062265,บจ.พี แอล สหกิจ จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจการผลิตและรับจ้างทำของเกี่ยวกับเหล็กโลหะทุกชนิด,8 ซอยเฉลิมพระเกียรติร.9ซ.2แยก2  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,205",0105558062419,บจ.บันนี่บี จำกัด,9/4/2558," 1,000,000 ",ผลิตและจำหน่ายเพื่อส่งออกสินค้าไปยังประเทศหรืออาจจำนำเข้าวัตถุดินจากต่างประเทศเกี่ยวกับอาหาร,121 ซอยสุภาพงษ์ 2  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,206",0105558062621,บจ.สีอุไรย์ไหมไทย จำกัด,9/4/2558," 1,000,000 ",จำหน่ายสินค้าประเภทผ้าไหม สิ่งทอ และผ้าต่างๆ ทุกชนิด รวมทั้งวัสดุอุปกรณ์ต่างๆในการทอผ้า,128/80 ซอยอ่อนนุช 65  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
"1,207",0105558062630,บจ.ริช โลจิสติกส์ อินเตอร์ไลน์ จำกัด,9/4/2558," 1,000,000 ",ขนส่ง ขนถ่ายสินค้า ทั้งทางบก ทางน้ำทางอากาศทั้งภายในประเทศและระหว่างประเทศ,88/55 ซอยอ่อนนุช 21/1  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,208",0105558062711,บจ.โค๊ด ซอฟท์ (ประเทศไทย) จำกัด,9/4/2558," 1,000,000 ",ประกอบกิจการค้า อุปกรณ์คอมพิวเตอร์ ซอฟต์แวร์ พร้อมติดตั้ง รวมถึงอุปกรณ์อิเล็กทรอนิกส์,700/48 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,209",0105558063415,บจ.สุขเจริญสิน จำกัด,10/4/2558," 1,000,000 ",ประกอบกิจการค้าพาณิชทั่วไป,511 ซอยอ่อนนุช 66 แยก 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
