นิติบุคคลจัดตั้งเดือนกุมภาพันธ์  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์เดิม,ที่ตั้งสำนักงานใหญ่
363,0105558020856,บจ.ไทย พรีเมี่ยม แอพพาเรล จำกัด,3/2/2558," 2,000,000 ",ผลิต ตัดเย็บเสื้อผ้าสำเร็จรูป,19/10 หมู่บ้านรอยัลนครินทร์วิลล่า หมู่ที่ 1 ซอยสุภาพงษ์ 1  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
364,0105558022255,บจ.เคอีพี อินเตอร์เนชั่นแนล เทรด จำกัด,5/2/2558," 2,000,000 ","ประกอบกิจการนำเข้าและส่งออกสินค้าอุปโภคและบริโภคเช่น ข้าว,เสื้อผ้า,เครื่องประดับ",226/492 ถนนพัฒนาการ  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
365,0105558023944,บจ.ดับเบิ้ลยู วัน อินเตอร์เนชั่นแนล จำกัด,6/2/2558," 2,000,000 ",ให้คำปรึกษาแนะนำหรือ ให้ความช่วยเหลือในการดำเนินการจัดการทางธุรกิจ,760/427 ซอยพัฒนาการ 38 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
366,0105558024771,บจ.โซโซ่ แบงค็อก จำกัด,9/2/2558," 2,000,000 ",บริหาร จัดงานคอนเสิร์ต งานแสดงต่างๆ รวมถึงการตลาด จัดหาอุปกรณ์ จัดอำนวยความสะดวก สิ่งอุปโภคบริโภค,422/103 ซอยอ่อนนุช 17 แยก 16  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
367,0105558026862,บจ.ดี ดี ออล คอร์ปอเรชั่น จำกัด,11/2/2558," 2,000,000 ",นำเข้าส่งออก เครื่องสำอาง อุปกรณ์ เครื่องมือ เครื่องใช้เสริมความงาม,84 ซอยอ่อนนุช 70 แยก 3  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
368,0105558028750,บจ.คังจิ อินเตอร์กรุ๊ป (ไทยแลนด์) จำกัด,13/2/2558," 2,000,000 ",ประกอบกิจการด้านการท่องเที่ยวทั้งในประเทศและต่างประเทศ,877/21 ถนนพระรามเก้า  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
369,0105558031858,บจ.เอสเค ดิสเพนเซอร์ จำกัด,19/2/2558," 2,000,000 ",ประกอบธุรกิจรับก่อสร้างอาคารสถานีบริการน้ำมันสถานีบริการแก๊ส,18 ซอยพระรามเก้า 46 (ถนนเสรี 8)  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
370,0105558032871,บจ.เจดแกลเลอรี่ จำกัด,20/2/2558," 2,000,000 ",กิจการนำเที่ยวและธุรกิจที่เกี่ยวข้องกับการท่องเที่วการสันทนาการการพักผ่อนและการเดินทาง,128/212 ซอยอ่อนนุช 65  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
371,0105558037422,บจ.ดายา นันด์ จำกัด,27/2/2558," 2,000,000 ",ขายส่งขายปลีกเฟอร์นิเจอร์ทุกชนิด,2313 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
372,0105558037619,บจ.เคมิลค์ โพรดักส์ จำกัด,27/2/2558," 2,000,000 ",ผลิตและแปรรูปอาหารจากผลิตผลทางการเกษตร เช่น ข้าว ถั่ว ผลไม้ และขายส่งผลิตภัณฑ์อาหารสำเร็จรูป,2046/21 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
373,0105558023472,บจ.โปรเกรส (ประเทศไทย) จำกัด,6/2/2558," 2,000,000 ",ประกอบกิจการค้าผ้า ผ้าทอใยสังเคราะห์ ด้าย ยางยืด เส้นใยในล่อน ใยสังเคราะห์ เส้นด้ายยืด,9 ซอยสุขุมวิท 85 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
374,0105558025351,บจ.เอเซี่ยน บิสสิเนส โบกเกอร์ (ประเทศไทย) จำกัด,10/2/2558," 2,000,000 ",ซื้อจัดหารับเช่า เช่าซื้อถือกรรมสิทธิ์ครอบครองปรับปรุงใช้และจัดการโดยประการอื่นฯลฯ,232/11 ซอยปุณณวิถี 8 ถนนสุขุมวิท ซอย 101  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
375,0105558029012,บจ.๗ มหาสมุทร จำกัด,16/2/2558," 2,000,000 ",ประกอบกิจการรับซื้อและจำหน่ายโลหะมีค่าทุกชนิด แร่ดีบุก นิเกิล ทองแดง ทองเหลือง,1553/153 ถนนลาซาล  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
376,0105558032544,บจ.เอ็มเคซี (ประเทศไทย) จำกัด,20/2/2558," 2,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้าทางน้ำและทางอากาศ,2533 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
