นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
753,0105558191332,บจ.ครอส โซลูชั่นส์ เอเชีย จำกัด,8/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,39 ซอยลาดพร้าววังหิน 11 ถนนลาดพร้าววังหิน  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
754,0105558194919,บจ.ศรีโมรา คอนสแตนซี จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน ฯ,39 ซอยเสนานิคม 1 ซอย 40 แยก 10 ถนนเสนานิคม 1  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
755,0105558191618,บจ.เรียล คลีนรูม จำกัด,8/12/2558," 1,000,000 ",ประกอบกิจการ รับจ้าง รับเหมา ก่อสร้าง ติดตั้ง ออกแบบ โรงงาน ห้องปลอดเชื้อ และคลีนรูม,99/5 ซอยรามอินทรา 101 ถนนรามอินทรา  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230
756,0105558195109,บจ.ไทยไพรด์ เทเลคอม จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการติดตั้งระบบสื่อสาร โทรศัพท์ กล้องวงจรปิด ระบบกันขโมย อัคคีภัย และระบบไฟฟ้า,19/57 หมู่บ้านดิเอ็กซ์คลูซีฟ ซอยนวลจันทร์ 56  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
757,0105558198353,บจ.ฮิต ซุปเปอร์คาร์ จำกัด,25/12/2558," 1,000,000 ",นำเข้ามาจำหน่าย อุปกรณ์ตกแต่งรถยนต์ อะไหล่ยนต์,247 ซอยประเสริฐมนูกิจ 29 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
758,0105558192312,บจ.ทีเอสเค บิวตี้ (ไทยแลนด์) จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออกและจำหน่ายเครื่องสำอาง,6 ซอยลาดพร้าววังหิน31 ถนนลาดพร้าววังหิน  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
759,0105558189249,บจ.วิลล่าสมาร์ทล็อค จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการนำเข้า-ส่งออก และจำหน่าย กุญแจ คีย์การ์ด บัตรทาบ รวมทั้งรับบริการติดตั้ง,26/230-231 ซอยประเสริฐมนูกิจ 39  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
760,0105558194421,บจ.แก้วสาระภัณฑ์ จำกัด,16/12/2558," 1,000,000 ",นำเข้าส่งออกและจำหน่ายเครื่องมือเครื่องจักร อุปกรณ์รวมถึงอะไหล่ ที่ใช้ในการเกษตร,295 ซอยลาดปลาเค้า 55 ถนนลาดปลาเค้า  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
761,0105558191685,บจ.ไทคูณ มาร์คอม จำกัด,8/12/2558," 1,000,000 ",ประกอบกิจการซื้อ ขาย สินค้า ประมูลงาน ตามวัตถุประสงค์ ให้แก่บุคคล ภาครัฐ ภาคเอกชน,85 ซอยโชคชัย 4(41) ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
762,0105558189036,บจ.มัลติ โปรดักท์ ไทย เทรดดิ้ง จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการจำหน่ายสินค้า บริโภค ขนม ลูกอม,39 ซอยรามอินทรา 58 แยก 3  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230
763,0105558189401,บจ.โบรา โบร่า เบฟเวอร์เรจ จำกัด,2/12/2558," 1,000,000 ",บริการจำหน่ายกาแฟ กาแฟซอง กาแฟสดคั่ว สำหรับลูกค้า,115/218 ซอยนวมินทร์ 163 แยก 15-12  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
764,0105558193190,บจ.วี เฮ้ลท์ โปรดักส์ จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการ จำหน่าย นำเข้า ส่งออก ค้าปลีก ค้าส่ง สินค้าเกษตรและอาหาร,1 หมู่บ้านอมรพันธ์ 9 ซอยเสนานิคม 1 ซอย 40 ถนนเสนานิคม 1  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
765,0103558024523,หจ.จารุณี (28),28/12/2558," 1,000,000 ",จำหน่าย ส่ง-ปลีก เสื้อผ้าสำเร็จรูป เครื่องประดับ รองเท้า กระเป๋า เครื่องหนัง,15/4 ซอยรามอินทรา 40  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
